Module,scaler_mean,scaler_scale,pca_mean
1,0.10837060555923077,0.04239871831645032,1.4460057417598295e-15
2,0.1321100780827133,0.04132249162324079,1.2257354658695873e-15
3,0.1793596919049356,0.1394072369564111,6.340510489623775e-17
4,0.3207858403639947,0.08851276560444292,5.62154512256792e-15
5,0.2654026916150651,0.04547702476549964,6.990856397068908e-16
6,0.6036390934803595,0.045285214937109596,-3.381871140307954e-15
7,0.03916928933373862,0.022510895401553013,-1.385823397763515e-15
8,0.1000697670957751,0.05075055154852615,1.6277477300375094e-15
9,0.16512828852640543,0.036854250078574936,-3.378150480954391e-16
10,0.11423027788911544,0.04025997306003951,-3.3082183799658935e-16
11,0.8609390783538992,0.04654968022611189,-5.401854219423732e-15
12,0.14792909290828019,0.047828322323708414,-2.7846102607199784e-15
13,0.4854341932076159,0.08466270260984411,1.1201013299453699e-14
14,0.08625121567772182,0.05334539529327433,-7.323271510117144e-16
15,0.11367302933242085,0.04197076658139121,5.4578361110111574e-15
16,0.04452941135518997,0.03372011126400761,-5.223407413639231e-16
17,0.12450529686895663,0.049191451293516736,9.813125886282369e-17
18,0.03762048025118639,0.03290257822010475,-2.6726102667484974e-15
19,0.07941245641316134,0.04141332681210418,-6.966957271294198e-16
20,0.07565887125304453,0.04350975843748603,-2.1350338327031967e-16
21,0.09500317830151939,0.048054896293762674,-3.5213913397169796e-15
22,0.7759271968401761,0.07584581057004078,-3.2003826276066726e-15
23,0.23176713993279402,0.0782206625119335,-4.11680546867691e-15
24,0.22481341754236644,0.08438555779483885,-1.327922333954786e-15
25,0.09991001545059335,0.041146174810012516,1.3929569246992995e-15
26,0.08732818239396412,0.0460623807203661,1.4974612837687124e-15
27,0.07199091345093746,0.027790124834396357,-1.5395020186542247e-15
28,0.28172791508787726,0.060497615194447685,-6.337251517927222e-16
29,0.12413286771190263,0.047696565813691916,4.390966462649291e-16
30,0.7496605081340856,0.09291649176960526,2.6640011498501074e-15
31,0.340664613855837,0.09725003487163528,6.363975085838944e-15
32,0.2490460835560687,0.0980383914483553,6.98730773899933e-15
