name,value
PC1,0.2550834496213276
PC2,-0.42371429859823306
PC3,0.5690010047805939
PC4,0.19547896365571218
PC5,-0.27860060539082354
PC6,0.18287886953462582
PC7,-0.2287940693079864
PC8,-0.4032496850230747
PC9,0.10548084922003402
PC10,-0.05855800915758617
PC11,-0.2445365879141901
PC12,0.12009059162112047
PC13,0.23692110026468877
PC14,0.00834367425447267
PC15,0.0106492197714076
PC16,0.04962234248226874
PC17,0.19257344563837278
PC18,-0.05931197513038585
PC19,0.12382970324509199
PC20,-0.1705228477899816
PC21,0.3665125519320279
PC22,0.1753094446019932
PC23,-0.17688845299702732
PC24,-0.16925086717062865
PC25,-0.08477917308418106
PC26,-0.04667617725953459
PC27,-0.13400324653814566
PC28,0.08054358449099218
PC29,-0.012914801967399673
PC30,0.12124252526009605
PC31,-0.005418770039833789
PC32,0.07607231897201805
PC33,0.1638570480772604
PC34,0.1229460395970848
PC35,-0.141353698057364
PC36,-0.021690416563851123
PC37,-0.11074538503507168
PC38,0.081614190391875
PC39,0.055487416003051564
PC40,0.1824562864723649
PC41,0.030453620614133856
PC42,0.0034667731324800896
PC43,-0.02125192510037833
PC44,0.029585363988248903
PC45,-0.02818807976666696
PC46,0.05402720264188192
PC47,-0.10029525278076652
PC48,0.08434993931214174
PC49,-0.02695274948712106
PC50,-0.04997747017970682
PC51,-0.039801772088169075
PC52,-0.10672091189386325
PC53,0.0798434398922405
PC54,0.07572362657156574
PC55,0.27561634659148876
PC56,0.18717606151518448
PC57,-0.08615712222867311
PC58,-0.049673695518144705
PC59,0.29047086053451904
PC60,-0.03388155505703378
intercept,50.228176125244616
