sample,predicted_age
sample_000,83.90825922557882
sample_001,62.880552882079485
sample_002,87.62326372026203
sample_003,97.33605571171215
sample_004,84.51790691430413
sample_005,100.48584257702052
sample_006,85.41657608159254
sample_007,99.41558321542533
sample_008,85.23013284087949
sample_009,96.17604612498606
sample_010,84.35945883340956
sample_011,80.49002793704423
sample_012,108.86477403134778
sample_013,81.5232470236542
sample_014,71.01519676002006
sample_015,82.50002157264166
sample_016,87.81649108205733
sample_017,80.3620404797976
sample_018,77.3093204498063
sample_019,88.06165494533647
